table_name,constraint_name,constraint_kind,definition,referenced_table,on_delete
order_line_item,order_line_item_name_not_blank,c,CHECK (length(btrim(item_name)) > 0),,
order_line_item,order_line_item_price_non_negative,c,CHECK (unit_price >= 0::numeric),,
order_line_item,order_line_item_quantity_positive,c,CHECK (quantity > 0),,
order_line_item,order_line_item_color_fk,f,"FOREIGN KEY (product_color_id, product_id) REFERENCES product_color(id, product_id) ON UPDATE CASCADE ON DELETE RESTRICT",product_color,restrict
order_line_item,order_line_item_order_fk,f,FOREIGN KEY (order_id) REFERENCES purchase_order(id) ON UPDATE CASCADE ON DELETE CASCADE,purchase_order,cascade
order_line_item,order_line_item_product_fk,f,FOREIGN KEY (product_id) REFERENCES product(id) ON UPDATE CASCADE ON DELETE RESTRICT,product,restrict
order_line_item,order_line_item_pkey,p,PRIMARY KEY (id),,
party_capability,party_capability_party_fk,f,FOREIGN KEY (marketplace_party_id) REFERENCES marketplace_party(id) ON UPDATE CASCADE ON DELETE CASCADE,marketplace_party,cascade
party_capability,party_capability_service_type_fk,f,FOREIGN KEY (service_type_id) REFERENCES service_type(id) ON UPDATE CASCADE ON DELETE RESTRICT,service_type,restrict
party_capability,party_capability_pk,p,"PRIMARY KEY (marketplace_party_id, service_type_id)",,
purchase_order,purchase_order_cancelled_timestamp,c,CHECK (lifecycle_state <> 'cancelled'::order_state OR cancelled_at IS NOT NULL),,
purchase_order,purchase_order_delivery_fee_non_negative,c,CHECK (delivery_fee >= 0::numeric),,
purchase_order,purchase_order_discount_non_negative,c,CHECK (order_discount_amount IS NULL OR order_discount_amount >= 0::numeric),,
purchase_order,purchase_order_origin_agreement,c,CHECK (origin = 'stocked'::order_origin AND offer_id IS NULL AND custom_offering_id IS NULL AND service_request_id IS NULL OR origin = 'custom_offering'::order_origin AND custom_offering_id IS NOT NULL OR origin = 'furnishing'::order_origin AND offer_id IS NOT NULL OR origin = 'service'::order_origin AND service_request_id IS NOT NULL),,
purchase_order,purchase_order_ship_coordinates_paired,c,"CHECK (num_nonnulls(ship_latitude, ship_longitude) <> 1)",,
purchase_order,purchase_order_single_origin_ref,c,"CHECK (num_nonnulls(offer_id, custom_offering_id, service_request_id) <= 1)",,
purchase_order,purchase_order_upfront_non_negative,c,CHECK (required_upfront_amount IS NULL OR required_upfront_amount >= 0::numeric),,
purchase_order,purchase_order_address_fk,f,FOREIGN KEY (address_id) REFERENCES address(id) ON UPDATE CASCADE ON DELETE RESTRICT,address,restrict
purchase_order,purchase_order_custom_offering_fk,f,FOREIGN KEY (custom_offering_id) REFERENCES custom_offering(id) ON UPDATE CASCADE ON DELETE RESTRICT,custom_offering,restrict
purchase_order,purchase_order_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE RESTRICT,customer_profile,restrict
purchase_order,purchase_order_offer_fk,f,FOREIGN KEY (offer_id) REFERENCES offer(id) ON UPDATE CASCADE ON DELETE RESTRICT,offer,restrict
purchase_order,purchase_order_party_fk,f,FOREIGN KEY (marketplace_party_id) REFERENCES marketplace_party(id) ON UPDATE CASCADE ON DELETE RESTRICT,marketplace_party,restrict
