table_name,ordinal_position,column_name,formatted_type,type_name,type_modifier,is_not_null,default_expression,identity_kind,generated_kind
order_line_item,6,item_name,text,text,-1,true,null,,
order_line_item,7,specification,text,text,-1,false,null,,
order_line_item,8,unit_price,"numeric(12,2)",numeric,786438,true,null,,
order_line_item,9,quantity,integer,integer,-1,true,null,,
order_line_item,10,line_total,"numeric(12,2)",numeric,786438,false,(unit_price * (quantity)::numeric),,s
party_capability,1,marketplace_party_id,uuid,uuid,-1,true,null,,
party_capability,2,service_type_id,uuid,uuid,-1,true,null,,
party_capability,3,declared_at,timestamp with time zone,timestamp with time zone,-1,false,null,,
purchase_order,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
purchase_order,2,customer_profile_id,uuid,uuid,-1,true,null,,
purchase_order,3,marketplace_party_id,uuid,uuid,-1,true,null,,
purchase_order,4,address_id,uuid,uuid,-1,true,null,,
purchase_order,5,origin,order_origin,order_origin,-1,true,null,,
purchase_order,6,offer_id,uuid,uuid,-1,false,null,,
purchase_order,7,custom_offering_id,uuid,uuid,-1,false,null,,
purchase_order,8,service_request_id,uuid,uuid,-1,false,null,,
purchase_order,9,settlement_id,uuid,uuid,-1,false,null,,
purchase_order,10,lifecycle_state,order_state,order_state,-1,true,'pending'::order_state,,
purchase_order,11,order_discount_amount,"numeric(12,2)",numeric,786438,false,null,,
purchase_order,12,delivery_fee,"numeric(12,2)",numeric,786438,true,0,,
purchase_order,13,required_upfront_amount,"numeric(12,2)",numeric,786438,false,null,,
purchase_order,14,notes,text,text,-1,false,null,,
purchase_order,15,placed_at,timestamp with time zone,timestamp with time zone,-1,true,now(),,
purchase_order,16,cancelled_at,timestamp with time zone,timestamp with time zone,-1,false,null,,
purchase_order,17,ship_recipient_name,text,text,-1,false,null,,
purchase_order,18,ship_contact_phone,text,text,-1,false,null,,
purchase_order,19,ship_address_line_1,text,text,-1,false,null,,
purchase_order,20,ship_address_line_2,text,text,-1,false,null,,
purchase_order,21,ship_city,text,text,-1,false,null,,
purchase_order,22,ship_country,text,text,-1,false,null,,
purchase_order,23,ship_latitude,"numeric(9,6)",numeric,589834,false,null,,
purchase_order,24,ship_longitude,"numeric(9,6)",numeric,589834,false,null,,
review,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
review,2,customer_profile_id,uuid,uuid,-1,true,null,,
review,3,target_kind,review_target_kind,review_target_kind,-1,true,null,,
review,4,target_product_id,uuid,uuid,-1,false,null,,
review,5,target_service_request_id,uuid,uuid,-1,false,null,,
review,6,target_marketplace_party_id,uuid,uuid,-1,false,null,,
review,7,rating,smallint,smallint,-1,true,null,,
review,8,comment,text,text,-1,false,null,,
review,9,created_at,timestamp with time zone,timestamp with time zone,-1,true,now(),,
saved_space,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
saved_space,2,customer_profile_id,uuid,uuid,-1,true,null,,
saved_space,3,space_name,text,text,-1,true,null,,
saved_space,4,width_cm,"numeric(8,2)",numeric,524294,true,null,,
saved_space,5,depth_cm,"numeric(8,2)",numeric,524294,true,null,,
saved_space,6,measurement_source,measurement_source,measurement_source,-1,false,null,,
service_request,1,id,uuid,uuid,-1,true,gen_random_uuid(),,
service_request,2,customer_profile_id,uuid,uuid,-1,true,null,,
service_request,3,service_type_id,uuid,uuid,-1,true,null,,
service_request,4,marketplace_party_id,uuid,uuid,-1,false,null,,
service_request,5,address_id,uuid,uuid,-1,true,null,,
service_request,6,related_order_id,uuid,uuid,-1,false,null,,
service_request,7,scheduled_date,date,date,-1,false,null,,
service_request,8,scheduled_time,text,text,-1,false,null,,
service_request,9,details,text,text,-1,false,null,,
service_request,10,price,"numeric(12,2)",numeric,786438,false,null,,
service_request,11,lifecycle_state,service_request_state,service_request_state,-1,true,'pending'::service_request_state,,
service_request,12,accepted_at,timestamp with time zone,timestamp with time zone,-1,false,null,,
service_request,13,completed_at,timestamp with time zone,timestamp with time zone,-1,false,null,,
service_request,14,created_at,timestamp with time zone,timestamp with time zone,-1,true,now(),,
