table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
customer_profile,5,profile_image_url,anon,false,false,false,false,false,false,false,false
customer_profile,5,profile_image_url,authenticated,true,true,true,true,true,true,true,false
customer_profile,5,profile_image_url,service_role,true,true,true,true,true,true,true,false
customer_profile,6,preferred_language,anon,false,false,false,false,false,false,false,false
customer_profile,6,preferred_language,authenticated,true,true,true,true,true,true,true,false
customer_profile,6,preferred_language,service_role,true,true,true,true,true,true,true,false
customer_profile,7,notification_preference,anon,false,false,false,false,false,false,false,false
customer_profile,7,notification_preference,authenticated,true,true,true,true,true,true,true,false
customer_profile,7,notification_preference,service_role,true,true,true,true,true,true,true,false
design,1,id,anon,false,false,false,false,false,false,false,false
design,1,id,authenticated,true,true,true,true,true,true,true,false
design,1,id,service_role,true,true,true,true,true,true,true,false
design,2,originating_user_id,anon,false,false,false,false,false,false,false,false
design,2,originating_user_id,authenticated,true,true,true,true,true,true,true,false
design,2,originating_user_id,service_role,true,true,true,true,true,true,true,false
design,3,source_design_id,anon,false,false,false,false,false,false,false,false
design,3,source_design_id,authenticated,true,true,true,true,true,true,true,false
design,3,source_design_id,service_role,true,true,true,true,true,true,true,false
design,4,source_design_version_id,anon,false,false,false,false,false,false,false,false
design,4,source_design_version_id,authenticated,true,true,true,true,true,true,true,false
design,4,source_design_version_id,service_role,true,true,true,true,true,true,true,false
design,5,created_at,anon,false,false,false,false,false,false,false,false
design,5,created_at,authenticated,true,true,true,true,true,true,true,false
design,5,created_at,service_role,true,true,true,true,true,true,true,false
design_product_reference,1,design_id,anon,false,false,false,false,false,false,false,false
design_product_reference,1,design_id,authenticated,true,true,true,true,true,true,true,false
design_product_reference,1,design_id,service_role,true,true,true,true,true,true,true,false
design_product_reference,2,product_id,anon,false,false,false,false,false,false,false,false
design_product_reference,2,product_id,authenticated,true,true,true,true,true,true,true,false
design_product_reference,2,product_id,service_role,true,true,true,true,true,true,true,false
